Total Traded Volume (ML),Volume Weighted Average Price ($),Date
120.0,2610.8166666666666,2009-05-01
2806.6,672.7395425069479,2009-06-01
18812.9,2227.4455792036315,2009-07-01
1290.2,2265.075947139978,2009-08-01
240.3,2318.4352892218058,2009-09-01
3150.0000000000005,591.3638095238094,2009-10-01
1942.1,1329.4969635961074,2009-11-01
1482.1,1174.192699547939,2009-12-01
3768.5,1489.3458935916146,2010-01-01
1832.6000000000001,2114.838175270108,2010-02-01
3742.3999999999996,1775.8959734395041,2010-03-01
925.6,1854.0621899308555,2010-04-01
1433.0,821.7885498953245,2010-05-01
5793.900000000001,2201.4049234539775,2010-06-01
6024.5,2072.8385426176446,2010-07-01
4504.200000000001,2107.463056702633,2010-08-01
1668.1000000000001,1652.6166824530903,2010-09-01
1813.4,1606.7701461343331,2010-10-01
3137.7999999999997,1047.755680731723,2010-11-01
2965.4,1917.6227321777835,2010-12-01
1680.2,1798.5720914176884,2011-01-01
1671.8,857.7020935518602,2011-02-01
2304.0,1558.6385338541668,2011-03-01
1368.1000000000001,1951.7652218405085,2011-04-01
1425.0,802.1760975438597,2011-05-01
5948.7,1128.7337149293123,2011-06-01
8270.5,1785.4021118432986,2011-07-01
3289.0999999999995,1937.3203915964857,2011-08-01
1319.3,1271.638753884636,2011-09-01
2441.8,754.4897469080187,2011-10-01
3293.8,1146.0146566276032,2011-11-01
4659.799999999999,1725.243285334135,2011-12-01
5208.8,1912.8988296728614,2012-01-01
3385.0000000000005,1315.9844874446085,2012-02-01
1542.7,1013.0751280222985,2012-03-01
442.3,1089.2832918833371,2012-04-01
2986.0,731.722974212994,2012-05-01
6242.799999999999,1197.8559764849108,2012-06-01
2679.3,1168.281939312507,2012-07-01
3185.9,728.6703976898208,2012-08-01
1356.6000000000001,1354.6299911543565,2012-09-01
2510.5,1276.4469229237204,2012-10-01
1690.8000000000002,1656.2224982256919,2012-11-01
1334.8000000000002,1479.398411747078,2012-12-01
1197.6,615.795689712759,2013-01-01
1190.6000000000001,1177.3122795229294,2013-02-01
933.1,1413.0141538956168,2013-03-01
973.3,838.4321534984075,2013-04-01
3354.500000000001,1129.944252198539,2013-05-01
6579.8,972.6111652329859,2013-06-01
955.0,1162.9549905759163,2013-07-01
1005.2,1354.2677815360125,2013-08-01
1484.2,893.9430447379059,2013-09-01
2161.4,1143.243268252059,2013-10-01
1808.3,869.5599270032627,2013-11-01
489.40000000000003,1152.1250306497752,2013-12-01
1041.4,1071.083090071058,2014-01-01
1006.5999999999999,1410.2588764156567,2014-02-01
2749.1,593.6649921792588,2014-03-01
948.0999999999999,1368.1927539289106,2014-04-01
1654.5,1168.002291931097,2014-05-01
2100.4,1417.2586174062083,2014-06-01
917.7,948.0331262939958,2014-07-01
2074.3999999999996,1227.0085904357888,2014-08-01
2406.4,1182.8901263297873,2014-09-01
3278.1,1444.39059699216,2014-10-01
727.3000000000002,1412.6990100371233,2014-11-01
3600.1000000000004,1410.8758423377128,2014-12-01
3001.0,1597.8540079973343,2015-01-01
1595.1000000000001,1693.4191204313206,2015-02-01
1350.1999999999998,1732.9503036587175,2015-03-01
1207.6000000000001,965.4997515733686,2015-04-01
2141.5,1882.4197973383143,2015-05-01
2529.3,1067.5028664057247,2015-06-01
1356.8999999999999,1877.8170830569684,2015-07-01
1026.0,2277.964912280702,2015-08-01
2774.7,1203.9017792914551,2015-09-01
3414.2000000000003,2213.595939605178,2015-10-01
1795.1000000000001,2639.937050860676,2015-11-01
2302.7,2190.2527446041604,2015-12-01
1721.0999999999997,1812.4507820579863,2016-01-01
5540.499999999999,2851.9514448154505,2016-02-01
982.8,2696.775757020757,2016-03-01
1973.1999999999998,1788.9291506182851,2016-04-01
1678.8999999999999,2422.5534576210616,2016-05-01
1895.7000000000003,2493.5907580313337,2016-06-01
1536.6999999999998,1251.5507971627515,2016-07-01
6702.000000000001,2477.419011339898,2016-08-01
16529.3,187.94837046940887,2016-09-01
2346.6,1696.7486678598825,2016-10-01
1481.3,2156.670917437386,2016-11-01
10490.1,186.82866226251417,2016-12-01
1878.5,1974.8176353473516,2017-01-01
1294.3999999999999,2841.3018773176764,2017-02-01
526.3,2476.8991335740075,2017-03-01
1283.8999999999999,2455.1405872731525,2017-04-01
624.3,2679.609162261733,2017-05-01
809.5,1992.3347992588017,2017-06-01
1947.5,2474.901679075738,2017-07-01
590.1999999999999,2744.8780074551005,2017-08-01
615.5,2968.426183590577,2017-09-01
951.5,2851.790331056227,2017-10-01
445.0,2825.2808988764045,2017-11-01
1213.4,3187.430678259436,2017-12-01
807.0999999999999,3067.264279519267,2018-01-01
1091.9,2700.9948713252124,2018-02-01
489.7,3326.20900551358,2018-03-01
703.1999999999999,3600.791483219568,2018-04-01
1728.8000000000002,3290.984785978713,2018-05-01
1679.4,3627.2968923425033,2018-06-01
684.4000000000001,3982.162478082992,2018-07-01
3282.1,2741.9466734712537,2018-08-01
2132.7,3206.9620134102315,2018-09-01
658.7,2810.1594048884162,2018-10-01
2014.9,4379.2561333068625,2018-11-01
1950.1,2582.053088046767,2018-12-01
10826.2,652.825183351499,2019-01-01
841.0,4525.321046373365,2019-02-01
647.9,4735.859962957246,2019-03-01
3378.6000000000004,4524.047533593795,2019-04-01
984.5999999999999,4235.98415803372,2019-05-01
951.3999999999999,1695.3426529325207,2019-06-01
660.0999999999999,4029.0122557188315,2019-07-01
1762.1000000000001,4074.3834629135686,2019-08-01
435.69999999999993,4891.815469359652,2019-09-01
4042.8,5278.143242307311,2019-10-01
3235.5,3229.794469170143,2019-11-01
1325.7000000000003,4892.199177792863,2019-12-01
2533.8,6779.896757439418,2020-01-01
569.2,4773.840477863668,2020-02-01
1226.2,5981.371852878812,2020-03-01
4056.4,627.6069914209644,2020-04-01
765.2,5741.4613173026655,2020-05-01
838.8,4146.062827849309,2020-06-01
37.0,5883.783918918919,2020-07-01
1323.7,7319.823988819219,2020-08-01
514.4,1867.5447161741836,2020-09-01
3329.4,2352.8668829218477,2020-10-01
3867.5,2678.50290885585,2020-11-01
7045.1,720.9966505798357,2020-12-01
330.0,4012.787878787879,2021-01-01
1019.6,5387.210670851314,2021-02-01
2113.5,5407.47621007807,2021-03-01
1304.6000000000001,717.4612908171086,2021-04-01
2380.3,3807.7179347141114,2021-05-01
1049.2,3892.608654212733,2021-06-01
348.6,6060.570854847962,2021-07-01
970.4999999999999,6006.683139618754,2021-08-01
1455.6,3327.3289365210226,2021-09-01
1173.3000000000002,6429.087258160742,2021-10-01
13104.999999999996,583.1420831743611,2021-11-01
6148.599999999998,2140.543937319065,2021-12-01
1778.6999999999998,7027.81798504526,2022-01-01
925.9000000000001,7504.6495301868445,2022-02-01
839.5999999999999,6606.582860886137,2022-03-01
1287.2,4590.170913610938,2022-04-01
2620.9000000000005,4146.647524514478,2022-05-01
1193.8000000000002,7129.869176578989,2022-06-01
2130.9,2349.562160589422,2022-07-01
1720.3,7832.383841771784,2022-08-01
15838.499999999998,905.6643593774664,2022-09-01
576.0,7475.373263888889,2022-10-01
949.2,7442.549515381374,2022-11-01
628.5,6174.472350039777,2022-12-01
1827.1,5312.827431448744,2023-01-01
1007.8000000000001,7739.389781702718,2023-02-01
1803.2999999999997,7313.411523318362,2023-03-01
1114.5,4670.2131000448635,2023-04-01
1060.5,6924.912116925978,2023-05-01
2060.2000000000003,3562.7848907873013,2023-06-01
236.7,4885.648500211238,2023-07-01
1748.3999999999999,7420.627430793869,2023-08-01
391.0,5916.074168797954,2023-09-01
741.6999999999999,4426.830551435891,2023-10-01
692.0000000000001,4634.8151011560685,2023-11-01
595.0,4699.6134453781515,2023-12-01
577.5,5918.4744051948055,2024-01-01
1080.6,1951.9193040903203,2024-02-01
714.4,4044.883818589026,2024-03-01
76.5,6700.653594771242,2024-04-01
